Name,"Type (Attraction, Food, Entertainment, Character Meet & Greet)",LL (TRUE/FALSE),Single Rider (TRUE/FALSE),Latitude (not needed),Longitude
Jat Kaa's Coolers: J1-KC at Resistance Clearing,Food,FALSE,FALSE,33.813641,-117.922949
Jat Kaa's Coolers: J2-KC near the Garage,Food,FALSE,FALSE,33.814001,-117.921109
Jat Kaa's Coolers: J3-KC near Oga's Cantina,Food,FALSE,FALSE,33.814588,-117.920616
Jolly Holiday Bakery Cafe,Food,FALSE,FALSE,33.811678,-117.919364
Kat Saka's Kettle,Food,FALSE,FALSE,33.814447,-117.921641
Lemonade at small world Promenade,Food,FALSE,FALSE,33.813800,-117.918091
Lemonade near Tomorrowland Expo Center,Food,FALSE,FALSE,33.812096,-117.916898
Little Red Wagon,Food,FALSE,FALSE,33.811485,-117.918692
Main Street Fuit Cart,Food,FALSE,FALSE,33.811009,-117.918862
Market House,Food,FALSE,FALSE,33.810884,-117.918891
Maurice's Treats,Food,FALSE,FALSE,33.812484,-117.919309
Milk Stand,Food,FALSE,FALSE,33.814406,-117.920699
Mint Julep Bar,Food,FALSE,FALSE,33.811169,-117.921672
Oga's Cantina,Food,FALSE,FALSE,33.814717,-117.920943
Outdoor Vending Cart near Autopia,Food,FALSE,FALSE,33.812433,-117.916827
Outdoor Vending Cart near Haunted Mansion,Food,FALSE,FALSE,33.811856,-117.921898
Outdoor Vending Cart near Plaza Point,Food,FALSE,FALSE,33.811581,-117.918889
Outdoor Vending Cart near small world Promenade,Food,FALSE,FALSE,33.814077,-117.918074
Plaza Inn,Food,FALSE,FALSE,33.811694,-117.918504
Pooh Corner,Food,FALSE,FALSE,33.812265,-117.923226
Popcorn at small world Promenade,Food,FALSE,FALSE,33.813638,-117.918012
Popcorn near Central Plaza,Food,FALSE,FALSE,33.811974,-117.919093
Popcorn near City Hall,Food,FALSE,FALSE,33.810318,-117.919110
Popcorn near Fantasyland Theatre,Food,FALSE,FALSE,33.814338,-117.918277
Popcorn near Haunted Mansion,Food,FALSE,FALSE,33.811582,-117.921602
Popcorn near Mark Twain Riverboat,Food,FALSE,FALSE,33.812034,-117.920476
Popcorn near Star Trader,Food,FALSE,FALSE,33.812008,-117.917133
Pretzels at small world Promenade,Food,FALSE,FALSE,33.814130,-117.918083
Pretzels near Big Thunder Mountain Railroad,Food,FALSE,FALSE,33.813074,-117.920861
Pretzels near Star Tours - The Adventures Continue,Food,FALSE,FALSE,33.812016,-117.917472
Rancho del Zocalo Restaurante,Food,FALSE,FALSE,33.812519,-117.919819
Red Rose Taverne,Food,FALSE,FALSE,33.813500,-117.919516
Refreshment Corner,Food,FALSE,FALSE,33.811443,-117.919078
River Belle Terrace,Food,FALSE,FALSE,33.811622,-117.920601
Ronto Roasters,Food,FALSE,FALSE,33.814394,-117.921497
Royal Street Veranda,Food,FALSE,FALSE,33.811217,-117.920947
Ship to Shore Marketplace,Food,FALSE,FALSE,33.812319,-117.920546
Stage Door Café,Food,FALSE,FALSE,33.811886,-117.920308
Tiana's Palace,Food,FALSE,FALSE,33.811221,-117.921601
Tiki Juice Bar,Food,FALSE,FALSE,,
Tomorrowland Skyline Terrace,Food,FALSE,FALSE,33.811855,-117.916894
The Tropical Hideaway,Food,FALSE,FALSE,33.811573,-117.919630
Tropical Imports,Food,FALSE,FALSE,33.811597,-117.920111
Troubadour Tavern,Food,FALSE,FALSE,33.814467,-117.918786
The Bootstrappers,Entertainment,FALSE,FALSE,,
The Dapper Dans,Entertainment,FALSE,FALSE,,
Disneyland Band,Entertainment,FALSE,FALSE,,
Fantasy Faire,Entertainment,FALSE,FALSE,,
Flag Retreat Ceremony,Entertainment,FALSE,FALSE,,
Golden Horseshoe Piano Player,Entertainment,FALSE,FALSE,,
Jambalaya Jazz Band,Entertainment,FALSE,FALSE,,
Magic Happens Parade,Entertainment,FALSE,FALSE,,
Disneyland Fireworks,Entertainment,FALSE,FALSE,,
Pearly Band,Entertainment,FALSE,FALSE,,
Storytelling at Royal Theatre,Entertainment,FALSE,FALSE,,
